Date,steel_rebar,hot_rolled_coil,iron_ore,usd_mxn,coal,steel_rebar_next
2022-07-15,682.5,915.0,104.30000305175781,20.805889129638672,24.73553466796875,682.5
2022-07-18,682.5,915.0,106.69000244140625,20.49959945678711,24.73553466796875,682.5
2022-07-19,682.5,915.0,104.76000213623047,20.44502067565918,24.73553466796875,682.5
2022-07-20,682.5,915.0,104.51000213623047,20.519800186157227,24.73553466796875,682.5
2022-07-21,682.5,915.0,105.2699966430664,20.54210090637207,24.73553466796875,682.5
2022-07-22,682.5,923.0,105.38999938964844,20.65410041809082,24.73553466796875,682.5
2022-07-25,682.5,923.0,105.41999816894531,20.53459930419922,24.73553466796875,685.0
2022-07-26,685.0,918.0,106.01000213623047,20.450700759887695,24.73553466796875,682.5
2022-07-27,682.5,850.0,106.23999786376953,20.453699111938477,24.73553466796875,682.5
2022-07-28,682.5,854.0,106.88999938964844,20.373300552368164,24.73553466796875,680.71
2022-07-29,680.71,855.0,107.22000122070312,20.281200408935547,24.73553466796875,628.5
2022-08-01,628.5,832.0,114.3499984741211,20.374500274658203,24.73553466796875,625.0
2022-08-02,625.0,823.0,113.36000061035156,20.383499145507812,24.73553466796875,637.0
2022-08-03,637.0,819.0,110.11000061035156,20.810909271240234,24.73553466796875,631.5
2022-08-04,631.5,813.0,107.02999877929688,20.492700576782227,24.73553466796875,641.0
2022-08-05,641.0,818.0,109.19999694824219,20.323699951171875,24.73553466796875,650.0
2022-08-08,650.0,818.0,110.37999725341797,20.42140007019043,24.73553466796875,660.5
2022-08-09,660.5,827.0,109.8499984741211,20.2406005859375,24.73553466796875,659.0
2022-08-10,659.0,822.0,109.62999725341797,20.239999771118164,24.73553466796875,652.5
2022-08-11,652.5,815.0,110.41000366210938,20.015100479125977,24.73553466796875,660.0
2022-08-12,660.0,812.0,109.70999908447266,19.93320083618164,24.73553466796875,645.0
2022-08-15,645.0,803.0,107.5999984741211,19.85363006591797,24.73553466796875,645.0
2022-08-16,645.0,795.0,107.37000274658203,19.808300018310547,24.73553466796875,640.5
2022-08-17,640.5,795.0,105.51000213623047,19.903539657592773,24.73553466796875,645.0
2022-08-18,645.0,790.0,106.05000305175781,19.970399856567383,24.73553466796875,642.0
